Date,Open,High,Low,Close,Volume,Market Cap
Sep-16-2021,3517590.7463044375,3544548.8889106777,3452026.78765309,3476011.027522538,3928489309290.1055,65927977077975.24
Sep-15-2021,3546157.792085342,3567949.446366029,3463542.010224526,3521577.0171617023,4347547678675.9453,66361463774542.4
Sep-14-2021,3466505.6327264626,3565060.8344757976,3445205.77460399,3541956.9179669586,5061195094104.032,65910246308801.44
Sep-13-2021,3309188.580216607,3474251.934776683,3302159.723836107,3462412.535269022,5707610421766.177,63779796147510.34
Sep-12-2021,3392042.138185408,3406224.831076215,3195535.46403232,3313430.5613528932,4797143801568.952,62058724019325.93
Sep-11-2021,3324228.69340666,3415931.869098911,3296471.8708465216,3392085.2886197707,3548893016902.081,63220726050715.805
Sep-10-2021,3303277.415745503,3381186.4615403265,3300053.0347047285,3321239.433993643,4076692885038.5117,62853037595560.664
Sep-09-2021,3415539.497688704,3463151.956742577,3258067.6694346457,3301872.3495195005,4092799598661.145,63618359007964.6
Sep-08-2021,3391597.6644075923,3477255.2224165928,3361224.04943278,3411377.4950488266,5000650806734.558,64295460538899.67
Sep-07-2021,3445134.6049618633,3482294.493760283,3278554.875552867,3385821.1329194717,7879702472157.975,64112182826688.89
Sep-06-2021,3878945.055391918,3893900.33752782,3222342.946849468,3452771.016650055,6057505866228.833,69198803597367.195
Sep-05-2021,3811086.2433703514,3881784.4187833294,3755123.3042359804,3876781.457703763,4368827510841.1377,71698475470046.23
Sep-04-2021,3676127.4431394623,3817399.087843747,3644711.727086988,3807514.1032648613,3966485452180.808,69703222809142.37
Sep-03-2021,3682518.79416675,3721129.5408142605,3646758.592502631,3680498.3859015633,4913942699117.684,69320669008412.12
Sep-02-2021,3630108.2988513554,3756052.7877176628,3570739.6349067427,3681495.529405061,5543736445451.403,69094059062189.11
Sep-01-2021,3596235.9075337993,3705647.0709162466,3587655.017606396,3632219.1497549214,5065307259839.426,68742918537442.73
Aug-31-2021,3471151.150013341,3603603.4225657335,3428247.569424159,3589950.592728205,4473283722475.19,66002067727640.62
Aug-30-2021,3459512.537379213,3540360.1207185346,3440926.778460814,3478052.391423507,4193797463776.032,65487552025796.79
Aug-29-2021,3591333.969582438,3595673.013779944,3459471.5890236823,3462984.493945083,3548326290137.8164,66553639937876.26
Aug-28-2021,3599914.874239465,3649250.1379108294,3535257.88483907,3599681.8736776067,3552010489402.4004,67333115796643.86
Aug-27-2021,3611864.0830962216,3627589.8866084493,3570715.8318338874,3598743.6407990945,3939655026101.732,67660421652078.016
Aug-26-2021,3449594.1091883737,3614341.6353613427,3414325.482054578,3609196.120977881,4225655659886.4272,66056229430847
Aug-25-2021,3607808.5609103492,3632913.65890509,3422553.9951800494,3471081.5157145015,4699008157791.162,65545827410674.87
Aug-24-2021,3511611.7634952394,3620423.040179022,3473762.513550341,3604336.545425982,4430081408149.937,66792089419702.27
Aug-23-2021,3648536.251939905,3669741.4279546053,3515521.7422634847,3515521.7422634847,4793244139134.738,67686059750042.15
Aug-22-2021,3629375.8531583026,3715164.469308211,3615754.8886602498,3644580.6334307916,4671296625438.49,69013975997761.61
