Date,Open,High,Low,Close,Volume,Market Cap
Sep-16-2021,263447.9546530089,264557.0810731242,248006.91160240164,250498.11822924137,1920298233742.3787,30208316253214.87
Sep-15-2021,265944.65542970947,270057.65260956826,257876.77622195167,263501.43791881227,2130990813129.6787,31185290547637.184
Sep-14-2021,252617.53440933302,265126.9845260258,248635.73873612826,264483.30730928836,1737777864242.7874,29975364537006.062
Sep-13-2021,242525.15801556405,252539.39375246526,242178.16629985961,252067.39767166035,2173149672662.1165,28955441133350.8
Sep-12-2021,251721.70811915724,252914.31424437536,232084.50539878497,243286.54270268054,2109554056904.3474,28274380924470.32
Sep-11-2021,241190.53492259257,255327.82787035682,239006.0059964675,251615.09509853352,1667910700910.6663,29255128286254.44
Sep-10-2021,236925.9478143352,246485.33921397087,236925.9478143352,241064.62609414666,2153544688059.3503,28479412651901.36
Sep-09-2021,252906.6916638044,258836.77301261702,233554.734513809,237033.35623467065,2147638878033.8037,29167339844441.18
Sep-08-2021,257964.2112717475,262492.4598555508,251579.03697826734,252772.4532328215,2743169142581.687,30260565353443.78
Sep-07-2021,253008.54701578186,262279.9911892309,238340.8460645523,257090.0007052199,4226009042034.316,29788719364717
Sep-06-2021,289989.2793939413,290997.4927174632,234189.47084860134,253464.32578024155,2773279701371.4346,31962550586058.1
Sep-05-2021,291625.74065275496,292635.0874838068,286265.79976366577,290208.0879627953,1851384205358.0051,34085560146968.86
Sep-04-2021,286704.21612233197,293489.37690702034,283254.3354420292,291663.9934870406,1863096109384.6814,33879617258198.406
Sep-03-2021,290730.8482307959,292441.06218136416,283469.9403175997,287200.5168691488,2572751472447.0396,33852290161077.137
Sep-02-2021,279523.63093103847,295721.57045550173,274869.8429601201,290089.5894962717,2824058662470.239,33656871732069
Sep-01-2021,281991.41745525436,282367.8256392179,275344.12656117877,279707.1546849016,3176972279213.594,32664576040712.887
Aug-31-2021,253314.25300314502,279677.8059085002,249964.86900581923,279677.8059085002,3409953838564.0054,30918601218429.895
Aug-30-2021,237821.78883413525,254433.2688438867,235797.10623267601,253473.86321197046,2957269246804.7827,28885339902620.22
Aug-29-2021,237949.26636756823,246190.66433906247,232450.91859779827,238111.6457457605,1763031986738.7988,27851147429030.324
